,vot,f0,dec,condition,subject,accuracy
457,2,4,0.18093114,noise,57_43,0.18093114
458,6,4,0.77402836,clear,57_43,0.24064632
459,6,4,0.8266261,noise,57_43,0.18093114
460,4,2,0.6994004,noise,57_43,0.3060191
461,4,2,0.75549734,clear,57_43,0.26415375
462,4,6,0.3060191,noise,57_43,0.3060191
463,4,6,0.26415375,clear,57_43,0.26415375
464,2,4,0.24282306,clear,58_42,0.24282306
465,2,4,0.1732424,noise,58_42,0.1732424
466,6,4,0.76310146,clear,58_42,0.24282306
467,6,4,0.8230555,noise,58_42,0.1732424
468,4,2,0.6964212,noise,58_42,0.31872207
469,4,2,0.75966465,clear,58_42,0.27379057
470,4,6,0.31872207,noise,58_42,0.31872207
471,4,6,0.27379057,clear,58_42,0.27379057
472,2,4,0.24957894,clear,59_41,0.24957894
473,2,4,0.17050496,noise,59_41,0.17050496
474,6,4,0.7579767,clear,59_41,0.24957894
475,6,4,0.82631505,noise,59_41,0.17050496
476,4,2,0.69037837,noise,59_41,0.3147006
477,4,2,0.760595,clear,59_41,0.25942606
478,4,6,0.3147006,noise,59_41,0.3147006
479,4,6,0.25942606,clear,59_41,0.25942606
480,2,4,0.25737983,clear,60_40,0.25737983
481,2,4,0.17074585,noise,60_40,0.17074585
482,6,4,0.759609,clear,60_40,0.25737983
483,6,4,0.8360755,noise,60_40,0.17074585
484,4,2,0.6832096,noise,60_40,0.31419235
485,4,2,0.7624842,clear,60_40,0.25802335
486,4,6,0.31419235,noise,60_40,0.31419235
487,4,6,0.25802335,clear,60_40,0.25802335
488,2,4,0.25851664,clear,61_39,0.25851664
489,2,4,0.16386926,noise,61_39,0.16386926
490,6,4,0.7573739,clear,61_39,0.25851664
491,6,4,0.8409035,noise,61_39,0.16386926
492,4,2,0.68304896,noise,61_39,0.31965354
493,4,2,0.7722706,clear,61_39,0.25797802
494,4,6,0.31965354,noise,61_39,0.31965354
495,4,6,0.25797802,clear,61_39,0.25797802
496,2,4,0.26465717,clear,62_38,0.26465717
497,2,4,0.16065963,noise,62_38,0.16065963
498,6,4,0.74831414,clear,62_38,0.26465717
499,6,4,0.84176576,noise,62_38,0.16065963
500,4,2,0.6777238,noise,62_38,0.32186016
501,4,2,0.7685493,clear,62_38,0.2606505
502,4,6,0.32186016,noise,62_38,0.32186016
503,4,6,0.2606505,clear,62_38,0.2606505
504,2,4,0.26807916,clear,63_37,0.26807916
505,2,4,0.15616053,noise,63_37,0.15616053
506,6,4,0.7451261,clear,63_37,0.26807916
507,6,4,0.8430858,noise,63_37,0.15616053
508,4,2,0.6796906,noise,63_37,0.32729834
509,4,2,0.7770208,clear,63_37,0.25069103
510,4,6,0.32729834,noise,63_37,0.32729834
511,4,6,0.25069103,clear,63_37,0.25069103
512,2,4,0.26817834,clear,64_36,0.26817834
513,2,4,0.15047193,noise,64_36,0.15047193
514,6,4,0.7403399,clear,64_36,0.26817834
515,6,4,0.8428374,noise,64_36,0.15047193
516,4,2,0.67127347,noise,64_36,0.32860383
517,4,2,0.77839893,clear,64_36,0.24698761
518,4,6,0.32860383,noise,64_36,0.32860383
519,4,6,0.24698761,clear,64_36,0.24698761
520,2,4,0.27659544,clear,65_35,0.27659544
521,2,4,0.14923023,noise,65_35,0.14923023
522,6,4,0.7418962,clear,65_35,0.27659544
523,6,4,0.85454094,noise,65_35,0.14923023
524,4,2,0.6732098,noise,65_35,0.33285892
525,4,2,0.78426886,clear,65_35,0.24396586
526,4,6,0.33285892,noise,65_35,0.33285892
527,4,6,0.24396586,clear,65_35,0.24396586
528,2,4,0.27728578,clear,66_34,0.27728578
529,2,4,0.14152497,noise,66_34,0.14152497
530,6,4,0.7358665,clear,66_34,0.27728578
531,6,4,0.85899043,noise,66_34,0.14152497
532,4,2,0.66962755,noise,66_34,0.3329473
533,4,2,0.7904853,clear,66_34,0.23800275
534,4,6,0.3329473,noise,66_34,0.3329473
535,4,6,0.23800275,clear,66_34,0.23800275
536,2,4,0.2822596,clear,67_33,0.2822596
537,2,4,0.1389567,noise,67_33,0.1389567
538,6,4,0.7430692,clear,67_33,0.2822596
539,6,4,0.8619803,noise,67_33,0.1389567
540,4,2,0.66283613,noise,67_33,0.3304803
541,4,2,0.793438,clear,67_33,0.2262299
